33.03892, -97.28329, 33.03901, -97.28347
33.03845, -97.28370, 33.03851, -97.28389
33.03753, -97.28406, 33.03755, -97.28425
33.03623, -97.28449, 33.03625, -97.28469
33.03597, -97.28451, 33.03599, -97.28468
33.03532, -97.28444, 33.03529, -97.28463
33.03479, -97.28426, 33.03478, -97.28459
33.03447, -97.28427, 33.03444, -97.28449
33.03401, -97.28410, 33.03396, -97.28428
33.03349, -97.28377, 33.03341, -97.28396
33.03312, -97.28336, 33.03296, -97.28348
33.03278, -97.28266, 33.03265, -97.28274
33.03276, -97.28190, 33.03260, -97.28188
33.03288, -97.28129, 33.03275, -97.28114
33.03325, -97.28065, 33.03314, -97.28044
33.03374, -97.28012, 33.03368, -97.27986
33.03437, -97.27976, 33.03433, -97.27953
33.03633, -97.27912, 33.03631, -97.27889
33.03778, -97.27862, 33.03772, -97.27840
33.03851, -97.27852, 33.03851, -97.27836
33.03908, -97.27863, 33.03919, -97.27847
33.03957, -97.27884, 33.03968, -97.27870
33.03989, -97.27914, 33.04002, -97.27899
33.04024, -97.27961, 33.04038, -97.27954
33.04044, -97.28030, 33.04060, -97.28026
33.04047, -97.28093, 33.04061, -97.28097
33.04042, -97.28129, 33.04056, -97.28135
33.04028, -97.28171, 33.04036, -97.28183
33.04007, -97.28208, 33.04017, -97.28221
33.03985, -97.28231, 33.03997, -97.28252
33.03951, -97.28260, 33.03965, -97.28289
